StorAll	Snow	Intercp	Surface	Soil	SoilL1	SoilL2	SoilL3	RZW	GW	ET	EvapS	EvapI	EvapT	Leakage	SrfOut	GWOut	AllOut	SrftoCh	GWtoCh	Rchrge
29.9593	-nan	-nan	33.7304	29.9593	15.5917	23.3486	32.6979	23.7283	33.2785	18.7154	15.5259	-nan	20.021	-nan	33.6024	33.5969	18.7157	-nan	32.7308	0
30.8001	-nan	-nan	34.7311	30.8001	15.7675	24.3114	33.694	24.3157	34.2802	13.8166	15.4694	1	20.9645	-nan	34.6027	34.5972	13.817	-nan	33.731	0
29.223	-nan	-nan	35.3062	29.223	9.39328	17.8432	33.1664	20.0089	33.262	11.3909	9.41236	1	21.3556	-nan	35.0593	35.0463	11.3914	-nan	34.306	0
29.8431	-nan	-nan	36.2159	29.8431	9.37687	17.8537	33.8933	20.3075	33.8242	9.5224	9.36948	1	15.8709	-nan	35.9511	35.9364	9.52301	-nan	35.2157	0
30.4612	1	-nan	37.1201	30.4627	9.36065	17.8675	34.6175	20.6111	34.3931	9.64333	9.37409	1	16.0445	-nan	36.838	36.8214	9.64394	-nan	36.1199	0
29.7481	1.51706	-nan	37.5977	29.7598	6.86933	14.3044	34.2725	18.7837	33.4721	8.60457	6.86785	1	16.2012	-nan	37.2419	37.2165	8.60528	-nan	36.5974	0.000490725
30.6187	2.47141	-nan	38.5568	30.6307	7.56964	15.0273	35.1655	19.5811	34.328	8.1489	7.5555	1	13.9448	-nan	38.1958	38.1694	8.14968	-nan	37.5565	0.000963372
31.6468	3.47397	-nan	39.5577	31.6579	8.56478	16.0241	36.1625	20.6271	35.3426	12.4588	8.55763	-nan	14.8695	-nan	39.1973	39.1706	12.4594	-nan	38.5575	0
32.6729	4.47633	-nan	40.5584	32.6833	9.56049	17.0207	37.1594	21.6702	36.357	13.6081	9.53431	-nan	15.9074	-nan	40.1988	40.1719	13.6087	-nan	39.5585	0
33.6993	5.47905	-nan	41.5594	33.709	10.5558	18.0174	38.1565	22.7139	37.3715	14.7112	10.5254	-nan	16.9934	-nan	41.2003	41.1732	14.7119	-nan	40.5594	0
34.7254	6.48223	-nan	42.5602	34.7344	11.5505	19.0139	39.1536	23.7572	38.3858	15.8801	11.5247	-nan	18.0812	-nan	42.2018	42.1744	15.8807	-nan	41.5603	0
35.4272	5.93196	-nan	43.5439	35.4398	11.5458	19.7424	40.063	24.1395	39.2223	11.8084	11.601	1	19.0564	-nan	43.182	43.1541	11.8092	-nan	42.5436	0
35.6954	3.63137	-nan	44.3236	35.7311	10.5103	19.0717	40.5556	23.8638	39.5397	11.4146	10.6021	1	19.2006	-nan	43.9338	43.9017	11.4154	-nan	43.3232	0
35.4622	2.98381	-nan	44.9031	35.5443	8.6836	17.0198	40.6349	22.8622	39.3735	10.2991	8.64866	1	18.495	-nan	44.4706	44.4306	10.3	-nan	43.9027	0.000253731
34.9479	3.01633	-nan	10.0974	35.0846	6.90775	14.3757	40.4104	21.6484	38.9082	8.96592	6.75552	1	17.0075	-nan	44.8199	44.7685	8.96701	6.05183	44.301	0.000821813
34.785	3.38018	-nan	10.8984	34.9619	6.06487	12.775	40.4323	21.0676	38.8522	7.92338	5.78544	1	15.507	-nan	45.2595	45.1979	7.92449	6.83745	44.7722	0.000717259
34.6787	2.88786	-nan	10.7626	35.005	5.57026	11.709	40.6185	20.7079	39.1104	7.45758	5.20267	1	14.7841	-nan	45.6831	45.6107	7.4588	7.03208	45.2217	0.00078275
33.8476	2.81351	-nan	2.42222	34.4085	4.47762	9.63551	40.3261	19.4617	39.0329	6.04453	3.67642	1	14.3302	-nan	18.2584	45.5351	6.04564	1.16402	45.2004	0.00841579
34.826	3.83303	-nan	20.0797	35.3744	5.40865	10.5232	41.217	20.4877	39.9429	6.26407	4.59456	1	13.0058	-nan	46.6219	46.5279	6.26524	14.0422	46.158	1.02942e-05
