#Output values file generated by Xhydro
4
ReportTime
point# 1
point# 3
point# 2
1	0	0	0	
2	0	0	0	
3	0	0	0	
4	0	0	0	
5	0	0	0	
6	0	0	0	
7	0	0	0	
8	0	0	0	
9	0	0	0	
10	0	0	0	
11	0	0	0	
12	0	0	0	
13	0	0	0	
14	0	0	0	
15	0	0	0	
16	0	0	0	
17	0	0	0	
18	0	0	0	
19	0	0	0	
20	0	0	0	
21	0	0	0	
22	0	0	0	
23	0	0	0	
24	0	0	0	
25	0	0	0	
26	0	0	0	
27	0	0	0	
28	0	0	0	
29	0	0	0	
30	0	0	0	
31	0	0	0	
32	0	0	0	
33	0	0	0	
34	0	0	0	
35	0	0	0	
36	0	0	0	
37	0	0	0	
38	0	0	0	
39	0	0	0	
40	0	0	0	
41	0	0	0	
42	0	0	0	
43	0	0	0	
44	0	0	0	
45	0	0	0	
46	0	0	0	
47	0	0	0	
48	0	0	0	
49	0	0	0	
50	0	0	0	
51	0	0	0	
52	0	0	0	
53	0	0	0	
54	0	0	0	
55	0	0	0	
56	0	0	0	
57	0	0	0	
58	0	0	0	
59	0	0	1	
60	0	0	1.75353	
61	0	0	2.5593	
62	0	0	2.58033	
63	0	0	3.28092	
64	0	0	3.86069	
65	0	0	4.47717	
66	0	0	4.77458	
67	0	0	5.65473	
68	0	0	6.32494	
69	0	0	7.32494	
70	0	0	8.32494	
71	0	0	9.32494	
72	0	0	10.2174	
73	0	1	10.3384	
74	0	1.72088	10.5783	
75	0	2.72088	11.5783	
76	0	3.72088	12.5783	
77	0	4.72088	13.5783	
78	0	5.72088	14.5783	
79	0	6.72088	15.5783	
80	0	5.29893	15.9154	
81	0	5.261	16.4089	
82	0	6.261	17.4089	
83	0	7.261	18.4089	
84	0	8.261	19.4089	
85	0	9.261	20.4089	
86	0	8.06795	20.6596	
87	0	5.86689	18.7735	
88	0	5.06038	17.0615	
89	0	5.99305	17.9568	
90	1	6.74229	18.655	
91	1.80397	7.47149	19.3465	
92	2.80397	8.47149	20.3465	
93	3.80397	9.40728	21.2783	
94	4.80397	10.4073	22.2783	
95	4.22019	11.1066	23.008	
